Date,Open,High,Low,Close,Volume
07/19/2024,"476.06","486.71","475.71","476.79","15,149,420"
07/18/2024,"475.00","479.24","464.54","475.85","19,267,160"
07/17/2024,"479.17","479.17","459.12","461.99","28,076,600"
07/16/2024,"501.50","503.95","485.79","489.79","14,075,830"
07/15/2024,"498.63","506.68","493.37","496.16","12,539,160"
07/12/2024,"497.76","508.09","494.23","498.87","19,750,539"
07/11/2024,"530.89","535.46","508.37","512.70","16,458,250"
07/10/2024,"530.79","538.88","528.36","534.69","10,983,280"
07/09/2024,"533.75","537.48","528.19","530.00","8,769,088"
07/08/2024,"542.35","542.81","526.65","529.32","14,917,500"
07/05/2024,"511.60","540.87","511.60","539.91","21,354,090"
07/03/2024,"506.37","511.28","506.02","509.96","6,005,615"
07/02/2024,"500.76","510.50","499.45","509.50","7,739,479"
07/01/2024,"504.95","506.58","493.17","504.68","10,328,150"
06/28/2024,"517.15","521.88","503.84","504.22","15,855,140"
06/27/2024,"514.25","522.88","513.90","519.56","10,121,200"
06/26/2024,"506.65","513.81","504.68","513.12","8,882,337"
06/25/2024,"497.05","510.71","495.50","510.60","12,109,770"
06/24/2024,"499.20","507.80","494.29","498.91","13,525,280"
06/21/2024,"503.45","503.45","492.39","494.78","23,130,730"
06/20/2024,"502.00","503.67","496.77","501.70","11,801,180"
06/18/2024,"504.56","506.00","495.02","499.49","13,060,430"
06/17/2024,"501.67","510.75","496.01","506.63","11,266,600"
06/14/2024,"502.65","507.15","500.75","504.16","10,243,350"
06/13/2024,"505.71","509.36","501.36","504.10","9,954,621"
06/12/2024,"513.99","514.01","504.47","508.84","11,983,230"
06/11/2024,"500.16","507.60","498.27","507.47","9,673,715"
06/10/2024,"493.86","502.66","493.41","502.60","11,236,920"
06/07/2024,"495.91","498.91","490.17","492.96","9,380,745"
06/06/2024,"492.98","502.82","490.89","493.76","10,667,340"
06/05/2024,"484.45","496.65","483.91","495.06","15,690,480"
06/04/2024,"477.00","478.89","473.23","476.99","7,088,718"
06/03/2024,"470.86","479.60","468.24","477.49","11,279,390"
05/31/2024,"465.80","469.12","454.46","466.83","16,919,811"
05/30/2024,"471.67","471.73","464.71","467.05","10,735,230"
05/29/2024,"474.66","479.85","473.70","474.36","9,226,218"
05/28/2024,"476.58","480.86","474.84","479.92","10,175,770"
05/24/2024,"467.62","479.85","466.30","478.22","12,024,250"
05/23/2024,"472.88","474.36","461.54","465.78","11,747,910"
05/22/2024,"467.87","473.72","465.65","467.78","10,078,610"
05/21/2024,"467.12","470.70","462.27","464.63","11,742,190"
05/20/2024,"469.95","473.20","467.04","468.84","11,745,080"
05/17/2024,"470.83","472.80","468.42","471.91","10,807,290"
05/16/2024,"475.00","477.69","472.75","473.23","16,608,180"
05/15/2024,"474.98","482.50","471.20","481.54","13,100,470"
05/14/2024,"463.37","472.54","460.08","471.85","10,478,550"
05/13/2024,"472.75","473.35","462.85","468.01","14,668,800"
